Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
173.5,50,173.5,164.8,6.5,1006.2,793.5,14,33.01
167,75.4,167,164,7.9,1007.3,770.1,14,32.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
167.3,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
173.5,50,173.5,164.8,6.5,1006.2,793.5,28,38.2
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
165,0,143.6,163.8,0,1005.6,900.9,56,36.56
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,53.72
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
167.3,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
173.5,50,173.5,164.8,6.5,1006.2,793.5,56,53.77
167,75.4,167,164,7.9,1007.3,770.1,56,53.46
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,48.99
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
167.3,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,37.68
173.5,50,173.5,164.8,6.5,1006.2,793.5,100,56.06
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,50.94
446,24,79,162,11.6,967,712,28,57.03
446,24,79,162,11.6,967,712,28,44.42
446,24,79,162,11.6,967,712,28,51.02
446,24,79,162,10.3,967,712,28,53.39
446,24,79,162,11.6,967,712,3,35.36
446,24,79,162,11.6,967,712,3,25.02
446,24,79,162,11.6,967,712,3,23.35
446,24,79,162,11.6,967,712,7,52.01
446,24,79,162,11.6,967,712,7,38.02
446,24,79,162,11.6,967,712,7,39.3
446,24,79,162,11.6,967,712,56,61.07
446,24,79,162,11.6,967,712,56,56.14
446,24,79,162,11.6,967,712,56,55.25
446,24,79,162,10.3,967,712,56,54.77
387,20,94,157,14.3,938,845,28,50.24
387,20,94,157,13.9,938,845,28,46.68
387,20,94,157,11.6,938,845,28,46.68
387,20,94,157,14.3,938,845,3,22.75
387,20,94,157,13.9,938,845,3,25.51
387,20,94,157,11.6,938,845,3,34.77
387,20,94,157,14.3,938,845,7,36.84
387,20,94,157,13.9,938,845,7,45.9
387,20,94,157,11.6,938,845,7,41.67
387,20,94,157,14.3,938,845,56,56.34
387,20,94,157,13.9,938,845,56,47.97
387,20,94,157,11.6,938,845,56,61.46
355,19,97,145,13.1,967,871,28,44.03
355,19,97,145,12.2,967,871,28,55.45
491,26,123,210,3.9,882,699,28,55.55
491,26,123,201,3.9,822,699,28,57.92
491,26,123,210,3.9,882,699,3,25.61
491,26,123,210,3.9,882,699,7,33.49
491,26,123,210,3.9,882,699,56,59.59
491,26,123,201,3.9,822,699,3,29.55
491,26,123,201,3.9,822,699,7,37.92
491,26,123,201,3.9,822,699,56,61.86
424,22,132,178,8.5,822,750,28,62.05
424,22,132,178,8.5,882,750,3,32.01
424,22,132,168,8.9,822,750,28,72.1
424,22,132,178,8.5,822,750,7,39
424,22,132,178,8.5,822,750,56,65.7
424,22,132,168,8.9,822,750,3,32.11
424,22,132,168,8.9,822,750,7,40.29
424,22,132,168,8.9,822,750,56,74.36
202,11,141,206,1.7,942,801,28,21.97
202,11,141,206,1.7,942,801,3,9.85
202,11,141,206,1.7,942,801,7,15.07
202,11,141,206,1.7,942,801,56,23.25
284,15,141,179,5.5,842,801,28,43.73
284,15,141,179,5.5,842,801,3,13.4
284,15,141,179,5.5,842,801,7,24.13
284,15,141,179,5.5,842,801,56,44.52
359,19,141,154,10.9,942,801,28,62.94
359,19,141,154,10.9,942,801,28,59.49
359,19,141,154,10.9,942,801,3,25.12
359,19,141,154,10.9,942,801,3,23.64
359,19,141,154,10.9,942,801,7,35.75
359,19,141,154,10.9,942,801,7,38.61
359,19,141,154,10.9,942,801,56,68.75
359,19,141,154,10.9,942,801,56,66.78
159,149,116,175,15,953,720,28,27.68
142,167,130,174,11,883,785,28,44.61
298,137,107,201,6,878,655,28,53.52
280,129,100,172,9,825,805,28,52.82
252,97,76,194,8,835,821,28,33.4
136,162,126,172,10,923,764,28,29.07
155,0,143,193,9,877,868,28,9.74
255,99,77,189,6,919,749,28,33.8
162,207,172,216,10,822,638,28,39.84
136,196,98,199,6,847,783,28,26.97
164,163,128,197,8,961,641,28,27.23
162,214,164,202,10,820,680,28,30.65
157,214,152,200,9,819,704,28,33.05
149,153,194,192,8,935,623,28,24.58
135,105,193,196,6,965,643,28,21.91
159,209,161,201,7,848,669,28,30.88
144,15,195,176,6,1021,709,28,15.34
154,174,185,228,7,845,612,28,24.34
167,187,195,185,7,898,636,28,23.89
184,86,190,213,6,923,623,28,22.93
156,178,187,221,7,854,614,28,29.41
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
